Major,"Date 
Contacted",Eggs,Milk,Fish,Shellfish,Peanuts,Tree Nuts,Sesame,Soy,Wheat/Gluten,Vegan,Vegetarian,Halal,Kosher,Other,Intial Concern,Hall (Living/Eating),Class Type,Notes,RCPD,Specialist,Dining Accommodation
,5/1/14,,,,,x,x,,,,,,,,,Had reaction at Gallery,Snyder,Junior,,,,
,5/2/14,,,,,,,,,,,,,,Numerous allergies,Severe reactions; testing,Snyder,Junior,,,,
,5/3/14,,,,,,,,,x,,,,,,Deciding on a Univ,Unknown,Prospective,,,,
,5/6/14,,,,,x,,,,,,,,,,Peanut allergies,Unknown,Unknown,,,,
,6/13/14,,x,,,,,,,,,,,,,Severely lactose intoleranct,Brody,Employee,,,,
,7/2/14,,,,,,,,,x,,,,,,No options,Unknown,Freshman,,,,
,7/3/14,,,,,,x,,,,,,,,,"Severe reactions, Cross contact, Food safety",Unknown,Freshman,,,,
,7/10/14,,,,,,,,,x,,,,,Eats 'clean',GF dining options,Unknown,Senior,,,,
,7/22/14,,,,,,,,,,,,,,,,Unknown,Freshman,,,,
,7/25/14,,,,,,,,,,,,,,,High cholesterol,Unknown,Freshman,,,,
Psychology Social Science,7/30/14,,x,,,,,,,,,,,,,,Unknown,Prospective,,,,
,7/30/14,,,,,,,,,,,,,,UC,How to keep it under control,Off Campus,Employee,,,,
,7/30/14,,x,,,,,,,,,,,,,Deciding on a Univ,Unknown,Freshman,,,,
Marketing,8/5/14,,,,,x,x,,,,,,,,,Labeling,Brody,Freshman,,,,
Finance ,8/8/14,,,,,,x,x,,,,,,,,Labeling,Unknown,Freshman,,,,
Food Science ,8/14/14,,,,,,,,,,,,,,Numerous,Options,Brody,Freshman,,,,
Finance,8/22/14,,,,,,,,,,,,,,Numerous,Options,Unknown,Freshman,,,,
Teaching Cert Internship Year,8/25/14,,,,,,,,,,,,,,,Wants nutrition info,Holmes,Sophomore,,,,
 ,8/25/14,,,,,,x,x,,,,,,,,Landon info,Landon,Sophomore,,,,
,8/26/14,,,,,x,,,,,,,,,,,East,Freshman,,,,
,8/26/14,,,,,,,,,,,,,,Crohns,1-on-1 mtg,Case,Sophomore,,,,
Computer Science,8/26/14,,,,,,x,,,,,,,,,,Case,Freshman,,,,
Communication,8/26/14,,,,x,,,,,,,,,,,,Unknown,Freshman,,,,
,8/27/14,,,,,,,,,,,,,,,Wants nutrition info for the Union,Unknown,Freshman,,,,
,8/27/14,,,,x,,,,,,,,,,,Cross contact,Holmes,Sophomore,,,,
,8/27/14,,x,,,,,,,x,,,,,,Options,Landon,Senior,,,,
Kinesiology,8/28/14,,,,,,,,,,,,,,Numerous,Request for items,Brody,Sophomore,,,,
,8/29/14,,,,,,,,,,,,,,Lose weight,Healthy options in dining halls,Unknown,Freshman,,,,
Prelaw,9/3/14,,,,,,,,,,x,,,,,Questioning vegan classifications,Landon,Sophomore,,,,
,9/9/14,,,,,,,,,x,,,,,,,Unknown,Prospective,,,,
,9/23/14,,x,,,,,,,x,,,,,,Options,Snyder,Junior,2/4/15,,,
,10/5/14,,x,,,,,,,,,x,,,Pescatarian,Options,Landon,Unknown,2/4/15,,,
Advertising,10/8/14,,,,,,,,,x,,,,,,Options,Unknown,Freshman,2/4/15,,,
Education,10/8/14,,,,,,,,,,,,,,PCOS,Options,Unknown,Freshman,Mtg with East,,,
,10/10/14,,x,,,,,,,x,,,,,,CX options,Snyder,Freshman,several,,,
,10/15/14,,,,,,,,,,,,,,Unknown reaction,Rx from the Gallery -- getting tested ,Snyder,Junior,2/5/15,,,
Neuroscience,10/20/14,,x,,,,,,,,,,,,,,Akers,Freshman,,,,
Dietetics,10/20/14,,,,,,,,,,,x,,,,Healthy options in dining halls,Holmes,Sophomore,2/5/15,,,
,10/20/14,,,,,,,,,x,,,,,,,Shaw,Freshman,2/5/15,,,
,10/22/14,,,,,,,,,x,,,,,,Foods at the Union,Off Campus,Junior,2/5/15,,,
Computer Science,10/26/14,,x,,,,,,,,,,,,,Allergen info for Union foods,Off Campus,Sophomore,2/9/15,,,
,10/27/14,,x,,,,,,,,,,,,,Options,Hubbard,Unknown,2/9/15,,,
,10/28/14,,,,,,,,,x,,,,,,Parent (options),Holmes,Freshman,2/5/15,,,
Chemistry,10/28/14,,,,,,,,,x,,,,,,Options,Unknown,Freshman,2/9/15,,,
,10/30/14,,,,,x,x,,,,,,,,Nut,Rx to FT Grilled cheese,Off Campus,Junior,2/9/2015/ Food Truck,,,
,10/30/14,,x,,,,,,,,,x,,,,Options - met with her and mom,Unknown,Prospective,several,,,
,11/3/14,,,,,,x,,,,,,,,PCOS,Cross contact,Akers,Freshman,2/9/15,,,
,11/10/14,,,,,,,,,,,,,,,Low sodium diet,Campbell,Unknown,---,,,
 ,11/17/14,,,,,,,,,x,,,,,,Options in dining halls,Shaw,Sophomore,Mtg with Shaw,,,
Teaching Cert Internship Year,11/19/14,,,,,,,,,x,,,,,,Options at Landon,Landon,Freshman,2/9/15,,,
Arts And Humanities,11/19/14,,,,,,,,,x,,,,,,Options in Spartys,Off Campus,Junior,2/9/15,,,
,11/19/14,,,,,,,,,,,,,,"Lose weight, Pre-DM",Healthy options in dining halls,Unknown,Freshman,---,,,
,11/29/14,,,,,,,,,x,,,,,,,Brody,Unknown,2/9/15,,,
,12/3/14,,,,,,,,,,,x,,,,,Holmes,Junior,2/9/15,,,
,1/12/15,,,,,,,,,x,,,,,,,Akers,Unknown,,,,
,1/17/15,,x,,,,,,,,x,,,,,,Case,Unknown,,,,
Business,1/20/15,,x,,,,,,,,,,,,,Anyphylactic,Shaw,Incoming Freshman,,,,
,1/22/15,,,,,x,,,,,,,,,,Labeling,Landon,Sophomore,,,,
,2/2/15,,x,,,,,,,x,,,,,IBS,"Avoiding gluten, no dairy",Landon,Unknown,,,,
Human Devel And Family Studies,2/12/15,,,,,,,,,x,,,,,CHO specific diet,Avoiding wheat/flour,Akers,Sophomore,,,,
Biochemistry & Molecular Biology,2/20/15,,,,,x,,,,,,,,,,anaphylactic reaction,Landon,Freshman,6/2/16,,,
,3/3/15,,,,,,,,,x,,,,,,,McDonel,Incoming Freshman,,,,
,3/16/15,,,,,,,,,,,,,,FODMAP,,Snyder,Junior,,,,
,3/19/15,,,,,x,,,,,,,,,,Reaction at the Gallery,Snyder,Sophomore,,,,
,4/27/15,,,,,,,,,x,,,,,,,Akers,Incoming Freshman,,,,
,4/29/15,,,,,,,,,x,,,,,,,Brody,Incoming Freshman,,,,
,5/6/15,x,x,,,,,,,x,,,,,Yeast,,Case,Incoming Freshman,,,,
,6/5/15,,,,,,,,,x,,,,,,,McDonel,Sophomore,,,,
,6/11/15,,x,,,,,,x,,,x,,,,,Snyder,Senior,,,,
,6/18/15,,,,,,,,,x,,,,,,,Gallery,Incoming Freshman,,,,
,6/21/15,,,,,,x,,,,,,,,,,Wonders,Incoming Freshman,,,,
,6/24/15,,,,,x,x,,,,,,,,,,Wilson,Incoming Freshman,,,,
,6/26/15,,,,,x,x,,,,,,,,,,Akers,Incoming Freshman,,,,
,7/7/15,,,,,,,,,x,,,,,,,Wonders,Incoming Freshman,,,,
Criminal Justice,7/13/15,,,,,,,,,x,x,,,,,,Wonders,Incoming Freshman,,,,
Engineering,7/14/15,,,,,x,x,,,,,,,,Legumes,,Akers,Incoming Freshman,,,,
,7/14/15,,x,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
,7/19/15,,,,,,,,,x,,,,,,,Unknown,Incoming Freshman,,,,
